parent_category,org_code,case_count
685,DHLTH,3
687,DHLTH,3
688,DHLTH,1
690,DHLTH,2
707,DHLTH,1
712,DHLTH,1
717,DHLTH,2
718,DHLTH,1
867,DHLTH,2
868,DHLTH,1
871,DHLTH,3
872,DHLTH,1
876,DHLTH,4
880,DHLTH,2
883,DHLTH,1
891,DHLTH,1
974,DHLTH,4
975,DHLTH,1
976,DHLTH,2
998,DHLTH,6
1001,DHLTH,13
1002,DHLTH,15
1003,DHLTH,22
1026,DHLTH,3
1030,DHLTH,3
1035,DHLTH,1
1071,DHLTH,6
1078,DHLTH,10
1079,DHLTH,6
1080,DHLTH,6
1081,DHLTH,4
1094,DHLTH,4
1105,DHLTH,5
1130,DHLTH,1
1179,DHLTH,1
1221,MEAPD,309
1234,MEAPD,14
1235,MEAPD,9
1236,MEAPD,19
1237,MEAPD,5
1240,MEAPD,86
1241,MEAPD,14
1242,MEAPD,1
1244,MEAPD,3
1245,MEAPD,4
1246,MEAPD,17
1248,MEAPD,152
1249,MEAPD,7
1322,MEAPD,1
1324,MEAPD,1
1325,MEAPD,1
1326,MEAPD,1
1327,MEAPD,1
1341,MPANG,62
1342,MPANG,67
1344,MPANG,1
1345,MPANG,212
1346,MPANG,5
1347,MPANG,49
1348,MPANG,3
1349,MPANG,4
1350,MPANG,9
1352,MPANG,8
1354,MPANG,1
1355,MPANG,1
1356,MPANG,19
1443,MOCAV,114
1444,MOCAV,3
1451,MOCAV,3
1453,MOCAV,19
1458,MOCAV,5
1459,MOCAV,21
1460,MOCAV,1
1462,MOCAV,39
1463,MOCAV,5
1468,MOCAV,1
1469,MOCAV,2
1544,MOCAV,3
1548,MOCAV,1
1574,MOCAV,14
1613,MOCAV,2
1617,MOCAV,1
1619,MOCAV,2
1622,MOCAV,2
1626,MOCAV,2
1709,MOCAV,18
1737,MOCAV,1
1738,MOCAV,3
1745,MOCAV,1
1811,MOCAV,2
2113,DSEHE,223
2114,DSEHE,18
2115,DSEHE,49
2116,DSEHE,61
2117,DSEHE,11
2119,DSEHE,6
2120,DSEHE,29
2122,DSEHE,26
2123,DSEHE,10
2173,MOLBR,2700
2174,MOLBR,3
2175,MOLBR,16
2176,MOLBR,25
2177,MOLBR,2
2178,MOLBR,65
2180,MOLBR,114
2181,MOLBR,10
2182,MOLBR,277
2184,MOLBR,4
2186,MOLBR,2
2188,MOLBR,1
2189,MOLBR,2
2224,MOLBR,22
2225,MOLBR,21
2227,MOLBR,11
2229,MOLBR,21
2231,MOLBR,29
2233,MOLBR,5
2235,MOLBR,5
2237,MOLBR,8
2343,MOLBR,1878
2344,MOLBR,362
2345,MOLBR,366
2346,MOLBR,432
2347,MOLBR,686
2348,MOLBR,97
2349,MOLBR,30
2426,DOURD,2
2427,DOURD,25
2447,DOURD,12
2448,DOURD,15
2449,DOURD,1
2455,DOURD,9
2456,DOURD,7
2457,DOURD,25
2460,DOURD,2
2462,DOURD,2
2463,DOURD,2
2565,MORLY,1440
2570,DOPAT,1
2571,DOPAT,228
2572,DOPAT,13
2573,DOPAT,26
2574,DOPAT,16
2576,DOPAT,61
2577,DOPAT,19
2578,DOPAT,184
2579,DOPAT,1
2580,DOPAT,20
2581,DOPAT,36
2582,DOPAT,146
2593,DOPAT,2
2602,DOPAT,3
2617,DOPAT,1
2619,DOPAT,2
2632,DOPAT,3
2659,DOPAT,2
2663,DOPAT,10
2664,DOPAT,13
2692,DOPAT,1
2694,DOPAT,73
2696,DOPAT,3
2697,DOPAT,1
2698,DOPAT,264
2699,DOPAT,1
2700,DOPAT,3
2701,DOPAT,6
2704,DOPAT,4
2706,DOPAT,1
2774,DOPAT,8
2800,DOURD,16
2807,DOURD,2
2809,DOURD,1
2810,DOURD,1
2811,DOURD,3
2812,DOURD,2
2815,DOURD,1
2821,DOURD,3
2822,DOURD,1
2823,DOURD,2
2828,DOURD,1
2832,DOURD,3
2843,DOURD,1
2995,DOURD,1
2999,DOURD,1
3023,DOURD,5
3028,DOURD,6
3029,DOURD,2
3032,DOURD,2
3061,DOURD,36
3062,DOURD,27
3064,DOURD,1
3065,DOURD,1
3074,DOURD,1
3087,DOURD,2
3088,DOURD,4
3096,DOURD,1
3097,DOURD,2
3109,DOURD,1
3111,DOURD,1
3125,DOURD,1
3146,DOURD,1
3163,DOURD,1
3179,DOURD,5
3180,DOURD,8
3186,DOURD,1
3187,DOURD,1
3188,DOURD,1
3193,DOURD,1
3276,DOURD,14
3283,DOURD,3
3290,DOURD,1
3298,DOURD,8
3299,DOURD,3
3302,DOURD,22
3307,DOURD,6
3308,DOURD,8
3309,DOURD,2
3310,DOURD,5
3313,DOURD,13
3315,DOURD,1
3316,DOURD,6
3319,DOURD,2
3408,DOURD,2
3494,DOURD,3
3497,DOURD,1
3727,DOURD,1
3739,DOURD,1
3775,DOURD,1
3776,DOURD,4
3788,DOURD,1
3801,DOURD,1
4292,DOURD,57
4301,DOURD,40
4302,DOURD,6
4303,DOURD,1
4304,DOURD,1
4306,DOURD,1
4307,DOURD,1
4309,DOURD,5
4337,DOURD,1
4340,DOURD,1
4342,DOURD,1
4345,DOURD,1
4364,DOURD,3
4367,DOURD,1
4368,DOURD,2
4414,CBODT,682
4415,CBODT,5
4416,CBODT,18
4417,CBODT,9
4418,CBODT,23
4419,CBODT,230
4420,CBODT,289
4449,CBODT,2981
4467,CBOEC,28
4468,CBOEC,127
4469,CBOEC,105
4470,CBOEC,9
4471,CBOEC,13
4473,CBOEC,32
4476,CBOEC,3
4490,CBOEC,3
4491,CBOEC,15
4492,CBOEC,2
4493,CBOEC,28
4564,CBOEC,3
4565,CBOEC,4
4597,CBOEC,5
4598,CBOEC,7
4622,DORVU,28
4625,DORVU,94
4626,DORVU,5
4630,DORVU,5
4655,DORVU,7
4656,DORVU,3
4657,DORVU,1
4658,DORVU,2
4660,DORVU,6
4661,DORVU,1
4663,DORVU,1
4664,DORVU,9
4710,DORVU,6
4743,MINHA,102
4744,MINHA,47
4745,MINHA,1
4746,MINHA,36
4747,MINHA,64
4748,MINHA,6
4749,MINHA,1
4750,MINHA,91
4751,MINHA,9
4752,MINHA,5
4753,MINHA,85
4754,MINHA,49
4755,MINHA,10
4756,MINHA,23
4757,MINHA,23
4758,MINHA,6
4759,MINHA,34
4760,MINHA,50
4761,MINHA,1
4763,MINHA,2
4764,MINHA,18
4765,MINHA,64
4766,MINHA,14
4767,MINHA,13
4790,MINHA,4
4791,MINHA,1
4843,MINHA,1
4845,MINHA,3
4864,MINHA,1
4911,MINHA,104
4912,MINHA,42
4913,MINHA,19
4914,MINHA,1
4915,MINHA,1
4952,MINHA,60
4953,MINHA,1
4978,DORLD,10
4981,DORLD,2
5003,DORLD,1
5004,DORLD,3
5005,DORLD,3
5012,DORLD,7
5016,DORLD,2
5017,DORLD,1
5033,DORLD,30
5034,DORLD,151
5035,DORLD,128
5036,DORLD,2
5053,DORLD,8
5058,DORLD,2
5068,DORLD,2
5069,DORLD,46
5077,DORLD,9
5080,DORLD,5
5099,DORLD,8
5100,DORLD,56
5101,DORLD,6
5102,DORLD,8
5103,DORLD,2
5104,DORLD,3
5105,DORLD,7
5106,DORLD,6
5107,DORLD,2
5109,DORLD,31
5174,DORLD,2
5175,DORLD,5
5176,DORLD,33
5187,DORLD,1
5188,DORLD,5
5189,DORLD,1
5190,DORLD,1
5216,DORLD,3
5217,DORLD,1
5221,DORLD,1
5240,DORLD,6
5241,DORLD,1
5256,DEPOJ,305
5257,DEPOJ,15
5258,DEPOJ,6
5259,DEPOJ,1
5260,DEPOJ,12
5261,DEPOJ,2
5262,DEPOJ,9
5263,DEPOJ,12
5264,DEPOJ,25
5266,DEPOJ,144
5293,DCOYA,68
5294,DCOYA,41
5295,DCOYA,58
5296,DCOYA,32
5297,DCOYA,5
5298,DCOYA,4
5299,DCOYA,6
5300,DCOYA,7
5302,DCOYA,105
5303,DCOYA,15
5307,DCOYA,70
5308,DCOYA,3
5310,DCOYA,1
5371,DCOYA,1
5388,DCOYA,1
5390,DCOYA,4
5409,DOCAF,123
5410,DOWCD,12
5411,DOWCD,1
5414,DOWCD,32
5415,DOWCD,1
5419,DOWCD,1
5421,DOWCD,72
5422,DOWCD,3
5423,DOWCD,5
5424,DOWCD,12
5426,DOWCD,6
5427,DOCAF,7
5429,DOCAF,3
5430,DOWCD,2
5431,DOWCD,3
5433,DOCAF,12
5435,DOCAF,255
5442,DOCAF,5
5443,DOCAF,20
5445,DOCAF,8
5447,DOCAF,8
5457,DOCAF,1
5460,DOCAF,6
5463,DOCAF,5
5466,DOCAF,98
5467,DOCAF,45
5471,DOWCD,1
5472,DOWCD,1
5588,MOIAB,11
5592,MOIAB,2
5593,MOIAB,1
5600,DDESW,3
5601,DDESW,10
5602,DDESW,4
5603,DDESW,1
5604,DDESW,31
5606,FADSS,32
5608,FADSS,3
5629,FADSS,6
5630,FADSS,1
5631,FADSS,1
5632,FADSS,1
5636,FADSS,4
5647,FADSS,1
5680,FADSS,1
5685,FADSS,2
5687,FADSS,1
5699,FADSS,11
5701,FADSS,1
5703,FADSS,2
5707,FADSS,2
5711,FADSS,2
5713,FADSS,1
5715,FADSS,7
5723,FADSS,2
5727,FADSS,1
5731,FADSS,1
5739,FADSS,7
5743,FADSS,1
5755,FADSS,1
5771,FADSS,4
5949,FADSS,2
5950,FADSS,4
5951,FADSS,1
5952,FADSS,1
5961,FADSS,1
5962,FADSS,3
5963,FADSS,5
5991,FADSS,6
6015,FADSS,1
6027,FADSS,2
6028,FADSS,2
6042,FADSS,2
6056,FADSS,9
6057,FADSS,9
6058,FADSS,8
6059,FADSS,17
6060,FADSS,14
6160,FADSS,1
6164,FADSS,2
6251,DATOM,1
6252,DATOM,3
6281,DEAPR,207
6298,DMAFF,1
6299,DMAFF,3
6300,MODEF,137
6301,MODEF,10
6302,MODEF,10
6303,MODEF,4
6304,MODEF,12
6305,MODEF,26
6306,MODEF,7
6307,MODEF,4
6308,MODEF,5
6309,MODEF,6
6310,MODEF,7
6329,MODEF,41
6330,MODEF,2
6331,MODEF,3
6332,MODEF,5
6343,DMAFF,2
6355,MODEF,5
6356,MODEF,17
6357,MODEF,1
6362,MINPA,5
6363,MINPA,1
6366,MINPA,2
6368,MINPA,6
6369,MINPA,2
6370,MINPA,2
6372,MINPA,12
6375,MINPA,2
6376,MINPA,7
6377,MINPA,15
6427,MODEF,3
6431,MODEF,2
6460,MOIAB,13
6461,MOIAB,1
6462,MOIAB,1
6464,MOIAB,4
6465,MOIAB,1
6466,MOIAB,20
6470,MOIAB,1
6472,MOIAB,1
6538,MOIAB,1
6542,MOIAB,1
6570,MOIAB,1
6573,MOIAB,1
6591,MOIAB,4
6641,MOIAB,2
6642,MOIAB,1
6665,MOIAB,1
6670,MOIAB,2
6724,MOIAB,1
6748,DHIND,12
6997,DATOM,2
6999,DATOM,3
7003,DATOM,1
7004,DATOM,2
7008,DATOM,1
7015,DATOM,2
7018,DATOM,1
7021,DATOM,2
7028,DATOM,4
7029,DATOM,1
7030,DATOM,1
7033,DATOM,3
7035,DATOM,1
7036,DATOM,2
7078,MMINE,6
7079,MMINE,1
7084,MMINE,3
7092,MMINE,3
7099,MMINE,1
7104,MMINE,4
7106,MMINE,1
7135,MMINE,1
7169,DOSAT,2
7185,MONRE,5
7186,MONRE,23
7187,MONRE,2
7190,MODEF,6
7239,DBIOT,2
7243,DBIOT,2
7306,MONRE,1
7310,MONRE,2
7331,UIDAI,155
7341,DOSAT,4
7343,DOSAT,5
7347,DOSAT,1
7373,DOSAT,2
7374,DOSAT,1
7386,DOSAT,1
7401,DOSAT,1
7608,DOSAT,1
7622,DMAFF,3
7668,UIDAI,366
7669,UIDAI,34
7670,UIDAI,13
7671,UIDAI,29
7672,UIDAI,31
7673,UIDAI,13
7674,UIDAI,31
7675,UIDAI,16
7676,UIDAI,4
7677,UIDAI,8
7678,UIDAI,10
7679,UIDAI,8
7680,UIDAI,2
7681,UIDAI,35
7682,UIDAI,1
7686,DMAFF,2
7687,DMAFF,3
7690,DMAFF,2
7698,DMAFF,1
7702,DMAFF,1
7703,DMAFF,1
7704,DMAFF,1
7892,DMAFF,1
7954,UIDAI,1
8012,DMAFF,1
8031,MOYAS,4
8035,MOYAS,2
8037,MOYAS,13
8040,MOYAS,1
8044,MOYAS,1
8045,MOYAS,1
8327,DSPRT,17
8328,DSPRT,2
8357,MOYAS,1
8445,DBIOT,1
8451,DDRDO,1
8469,DSPRT,1
8515,DSPRT,1
9575,MOSPI,7
9576,MOSPI,2
9598,DOSAT,1
9614,DSPRT,1
9615,DSPRT,1
9626,DPHAM,3
9628,DPHAM,1
9631,DPHAM,1
9633,DPHAM,2
9634,DPHAM,5
9652,DSPAC,3
9675,DDPRO,103
9677,DDPRO,2
9678,DDPRO,1
9746,DPHAM,1
9752,DSPAC,1
9753,DDPRO,8
9769,DDPRO,1
9854,DPHAM,2
9855,DPHAM,3
9881,DDPRO,1
9882,DDPRO,1
9887,DHIND,2
9888,DHIND,9
9993,DPHAM,2
10021,MOMAF,29
10022,MOMAF,34
10068,MOMAF,1
10074,MOMAF,2
10092,MOMAF,1
10096,MOMAF,3
10116,DSPAC,2
10134,MOMAF,1
10138,MOMAF,1
10139,MOMAF,1
10144,MOPRJ,59
10148,MOMAF,1
10151,MOMAF,1
10165,MOMAF,5
10232,DDRDO,6
10239,DDRDO,7
10240,DDRDO,2
10608,DOIPP,10
10609,DOIPP,3
10610,DOIPP,9
10615,DOIPP,1
10616,DOIPP,10
10617,MOMAF,43
10632,MOMAF,2
10661,DDRDO,3
10672,MTRBL,8
10685,MTRBL,4
10687,MTRBL,1
10692,MOPRJ,103
10693,MOPRJ,22
10695,MTRBL,1
10696,MOPRJ,5
10704,MOPRJ,19
10705,MOPRJ,97
10706,MOPRJ,8
10707,MOPRJ,4
10708,MOPRJ,1
10709,MOPRJ,9
10711,MOPRJ,3
10715,MOPRJ,3
10719,MOPRJ,5
10732,MOPRJ,14
10745,MOPRJ,1
10769,MTRBL,1
10776,MTRBL,3
10958,DOARE,1
10959,DOARE,1
10962,DOARE,4
10963,DOARE,14
10965,DOARE,2
10983,MOSPI,2
11087,DOARE,1
11106,DOARE,1
11533,DLGLA,46
11534,DLGLA,2
11535,DLGLA,1
11547,DLGLA,1
11548,DLGLA,1
11549,DLGLA,5
11554,MODEF,9
11555,DOCOM,71
11567,MODEF,2
11584,DLGLA,6
11669,DLGLA,5
11776,DLGLA,15
11883,LGVED,6
11909,DONER,2
11978,DLGLA,10
12032,MINWR,9
12033,MINWR,8
12034,MINWR,2
12037,MINWR,6
12039,DLGLA,1
12041,DLGLA,1
12254,DBIOT,1
12256,DBIOT,1
12385,DCLTR,17
13062,DHIND,1
13063,DHIND,1
13064,DHIND,1
13182,DHIND,1
13261,LGVED,1
13352,MINWR,1
13439,MINWR,4
13440,MINWR,1
13525,MOSTL,3
13636,MINWR,6
13688,MINWR,1
13689,MINWR,4
13774,MINWR,7
13775,MOSTL,2
13963,MOSTL,1
14038,MTXTL,19
14043,MTXTL,1
14045,MTXTL,5
14147,MTXTL,1
14148,MTXTL,1
14149,MTXTL,1
14151,MTXTL,1
14153,MTXTL,1
14223,MTXTL,3
14224,MTXTL,3
14232,MTXTL,1
14254,MOSTL,1
14272,MOSTL,1
14594,MINWR,3
14623,DOCOM,5
14624,DOCOM,6
14625,DOCOM,1
14628,DOCOM,3
14629,DOCOM,1
14630,DOCOM,7
14632,DOCOM,2
14634,DOCOM,2
14635,DOCOM,3
14637,LGVED,1
14695,DODIV,16
14696,DODIV,5
14697,DODIV,3
14804,DOCOM,2
14841,LGVED,4
15482,MINIT,4
15484,MINIT,2
15523,MINIT,5
15527,DOAHD,37
15528,DOAHD,3
15529,DOAHD,1
15532,DOAHD,1
15533,DOAHD,1
15536,MINIT,5
15543,DOAHD,2
15544,DOAHD,1
15566,MMSME,2
15568,DONER,1
15569,DONER,2
15583,MMSME,9
15584,MMSME,6
15585,MMSME,7
15586,MMSME,9
15587,MMSME,12
15722,MINIT,13
15728,MINIT,2
15747,MINIT,5
15758,MINIT,20
15772,MINIT,9
15776,MINIT,1
15782,MINIT,10
15786,MINIT,3
15791,MINIT,1
15800,DOCPC,2
15802,DOCPC,2
15805,DOCPC,2
15822,MINIT,1
15831,MINIT,2
15832,MINIT,2
15871,MINIT,4
15874,MINIT,12
15875,MINIT,69
15876,MINIT,70
15877,MINIT,6
15954,MINIT,13
15986,DODAF,26
15987,DODAF,5
15992,DPUBE,4
15993,DPUBE,9
15994,DPUBE,2
15996,DPUBE,6
16001,DPUBE,1
16073,DOFPI,6
16074,DOFPI,1
16080,DOFPI,1
16120,DHRES,5
16121,DHRES,6
16188,DCLTR,1
16191,DCLTR,2
16201,DCLTR,6
16202,DCLTR,1
16208,DCLTR,1
16230,DHRES,1
16234,DODAF,1
16235,DODAF,1
16236,DODAF,3
16237,DODAF,14
16239,DODAF,3
16240,DODAF,2
16295,DCLTR,1
16358,DHRES,2
16378,DHRES,1
16561,LGVED,10
16562,LGVED,6
16607,MPOWR,3
16608,MPOWR,1
16610,LGVED,3
16611,LGVED,2
16617,MPOWR,2
16618,MPOWR,1
16620,MPOWR,1
16621,MPOWR,2
16622,MPOWR,1
16633,MPOWR,4
16634,MPOWR,1
16639,DMAFF,1
16647,MPOWR,1
16666,LGVED,1
16691,MPOWR,1
16706,MPOWR,3
16707,MPOWR,1
16708,MPOWR,2
17420,MPOWR,1
18720,DCLTR,1
19287,MPOWR,1
19319,MPOWR,1
19320,MPOWR,2
19337,MPOWR,1
19361,MPOWR,2
19363,MPOWR,1
19364,MPOWR,2
19365,MPOWR,1
20017,DODAF,3
20028,DODAF,1
20038,MPOWR,1
20039,MPOWR,1
20052,MPOWR,2
20054,MPOWR,5
20055,MPOWR,17
20056,MPOWR,1
20059,MPOWR,1
20060,MPOWR,8
20061,MPOWR,6
20063,MPOWR,1
20068,MPOWR,2
20069,MPOWR,1
20070,MPOWR,1
20072,MPOWR,3
20074,MPOWR,1
20075,MPOWR,1
20110,DEAPR,5
20111,DEAPR,12
20127,CAGAO,20
20128,CAGAO,14
20139,DOLDR,5
20144,DOLDR,1
20145,DOLDR,1
20159,DOLDR,5
20172,DOLDR,107
20191,DOLDR,1
20199,DOEAF,7
20200,DOEAF,13
20201,DOEAF,2
20272,DOEXP,499
20273,DOEXP,2
20274,DOEXP,1
20335,DOEAF,1
20337,DOEAF,4
20360,DOEAF,26
20382,DOEAF,4
20392,DOEAF,2
20398,DOEAF,10
20417,DOEAF,1
20433,LGVED,3
20473,DOEXP,1
20517,DOEXP,4
20523,DOEXP,1
20525,DFSHR,2
20548,DFSHR,2
20556,DOEXP,3
20571,DOEXP,2
20582,DOEXP,1
20611,DOEXP,9
20640,DOEXP,2
20647,DOEXP,4
20652,LGVED,1
20661,DOEXP,3
20754,MOCOP,87
20755,MOCOP,94
20757,MOCOP,310
21018,DPLNG,32
21020,DPLNG,40
21021,DPLNG,9
21022,DTOUR,11
21023,DTOUR,17
21024,DTOUR,4
21041,DPLNG,12
21045,DPLNG,2
21046,DPLNG,5
21048,DPLNG,2
21051,DPLNG,1
21052,DPLNG,4
21053,DPLNG,2
21054,DPLNG,2
21055,DPLNG,1
21061,DPLNG,1
21064,DPLNG,1
21065,DPLNG,2
21125,DPLNG,1
21126,DPLNG,1
21127,DPLNG,1
21129,DPLNG,1
21981,DTOUR,1
21983,DTOUR,20
21985,DTOUR,5
21987,DTOUR,1
21993,DTOUR,1
22070,DTOUR,1
22071,DTOUR,2
22081,DTOUR,1
22095,DTOUR,1
22168,DOSKD,1
22178,DOSKD,1
22200,DOSKD,2
22204,MOEAF,27
22373,MINIT,5
22384,DOAAC,42
22385,DOAAC,2
22386,DOAAC,6
22387,DOAAC,4
22388,DOAAC,4
22389,DOAAC,11
22390,DOAAC,2
22391,DOAAC,1
22392,DOAAC,14
22394,DOAAC,4174
22396,DOAAC,4
22398,DOAAC,3
22401,DOAAC,3
22402,DOAAC,6
22406,DOAAC,2
22407,DOAAC,1
22409,DOAAC,9
22414,DOAAC,9
22471,MOCOP,6
22480,MOCOP,1
22504,DOCND,1
22544,DOSKD,9
22581,DDESW,1
22583,DDESW,16
22584,DDESW,4
22588,DDESW,2
22592,DDESW,4
22618,DDESW,7
22620,DDESW,4
22622,DDESW,5
22624,DDESW,3
22627,DDESW,2
22628,DDESW,3
22629,DDESW,1
22631,DDESW,2
22632,DDESW,2
22634,DDESW,10
22635,DDESW,11
22643,DDESW,2
22646,DDESW,5
22654,DDESW,1
22655,DDESW,2
22656,DDESW,3
22657,DDESW,1
22658,DDESW,4
22661,DDESW,2
22685,DOFZR,5
22688,DOFZR,4
22713,JSOLD,1
22756,DOFZR,1
22804,AYUSH,1
22806,AYUSH,3
22846,AYUSH,2
22877,AYUSH,1
22878,AYUSH,1
23051,AYUSH,1
23128,AYUSH,2
23178,AYUSH,1
23191,AYUSH,3
23194,AYUSH,17
23198,MOEAF,14
23199,MOEAF,6
23200,MOEAF,21
23203,MOEAF,1
23204,MOEAF,13
23212,MOEAF,1
23214,MOEAF,14
23342,MOEAF,20
23344,MOEAF,10
23345,MOEAF,6
23353,MOEAF,2
23365,MOEAF,1
23366,MOEAF,1
23367,MOEAF,2
23369,MOEAF,1
23370,MOEAF,1
23376,DODWS,11
23377,DODWS,46
23378,DODWS,25
23379,DODWS,7
23380,DODWS,11
23381,DODWS,2
23382,DODWS,10
23386,DODWS,16
23430,DOSIR,6
23439,DOSIR,1
23449,DOSIR,1
23450,DOSIR,1
23451,DOSIR,1
23564,DOSIR,1
23570,DOSIR,1
23592,DOSIR,1
23599,DOSIR,1
23699,DODWS,6
23700,DODWS,3
24948,DOSKD,1
25005,DOSKD,1
25008,DOSKD,1
25010,DOSKD,1
25025,DOSKD,9
25037,DOFPD,68
25039,DOFPD,7
25040,DOFPD,20
25041,DOFPD,92
25058,DOFPD,1
25065,DOFPD,1
25067,DOFPD,6
25068,DOFPD,1
25097,DOFPD,1
25105,DOFPD,9
25119,MCOAL,15
25125,MCOAL,5
25164,MCOAL,7
25174,MCOAL,27
25175,MCOAL,1
25204,MCOAL,1
25206,MCOAL,1
25219,MCOAL,1
25220,MCOAL,3
25221,MCOAL,2
25223,MCOAL,1
25258,MCOAL,1
25368,MCOAL,2
25446,MCOAL,2
25466,MCOAL,1
25808,DARPG,1562
25827,MCOAL,2
25880,MCOAL,2
25883,MCOAL,1
25960,MCOAL,1
25968,MCOAL,1
26180,MOSJE,56
26181,MOSJE,4
26184,MOSJE,9
26185,MOSJE,23
26190,DOURD,351
26194,DOURD,45
26206,MOSJE,12
26207,MOSJE,2
26208,MOSJE,1
26209,MOSJE,7
26213,MOSJE,7
26224,MOSJE,1
26229,MOSJE,2
26232,MOSJE,1
26243,MOSJE,2
26244,MOSJE,8
26245,MOSJE,3
26264,MOSJE,2
26265,MOSJE,1
26269,MOSJE,1
26308,MOSJE,3
26309,MOSJE,1
26344,MSHPG,6
26345,MSHPG,5
26365,MSHPG,6
26384,MSHPG,10
26387,MSHPG,1
